accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-8.511330750000000167e-01,-5.066515350000000417e-01,1.422115500000000095e-02,-4.425399999999999889e-01,6.561799999999999855e-01,-6.256599999999999939e-01
-8.511330750000000167e-01,-5.066515350000000417e-01,1.422115500000000095e-02,-4.425399999999999889e-01,6.561799999999999855e-01,-6.256599999999999939e-01
-8.511330750000000167e-01,-5.066515350000000417e-01,1.422115500000000095e-02,-4.425399999999999889e-01,6.561799999999999855e-01,-6.256599999999999939e-01
-8.511330750000000167e-01,-5.066515350000000417e-01,1.422115500000000095e-02,-4.425399999999999889e-01,6.561799999999999855e-01,-6.256599999999999939e-01
-8.511330750000000167e-01,-5.066515350000000417e-01,1.422115500000000095e-02,-4.425399999999999889e-01,6.561799999999999855e-01,-6.256599999999999939e-01
-8.511330750000000167e-01,-5.066515350000000417e-01,1.422115500000000095e-02,-4.425399999999999889e-01,6.561799999999999855e-01,-6.256599999999999939e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
-8.519265299999999597e-01,-5.046373800000000243e-01,1.458736499999999971e-02,-1.083459999999999868e+00,-9.156000000000000250e-02,-8.850799999999999779e-01
