accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.446282800000000035e-01,-8.520486000000000448e-01,-4.587390600000000318e-01,-1.770159999999999956e+00,2.823099999999999721e+00,9.766399999999999526e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.398675500000000127e-01,-8.534524049999999695e-01,-4.556873100000000121e-01,1.983800000000000008e+00,2.472119999999999873e+00,5.341000000000000192e-01
2.372430450000000135e-01,-8.538796499999999901e-01,-4.552600649999999916e-01,1.785420000000000007e+00,1.220799999999999885e+00,-5.951400000000000023e-01
2.372430450000000135e-01,-8.538796499999999901e-01,-4.552600649999999916e-01,1.785420000000000007e+00,1.220799999999999885e+00,-5.951400000000000023e-01
